キー,建物用途名称,室用途名称,地域区分1における床面積あたりの基準一次エネルギー消費量,地域区分2における床面積あたりの基準一次エネルギー消費量,地域区分3における床面積あたりの基準一次エネルギー消費量,地域区分4における床面積あたりの基準一次エネルギー消費量,地域区分5における床面積あたりの基準一次エネルギー消費量,地域区分6における床面積あたりの基準一次エネルギー消費量,地域区分7における床面積あたりの基準一次エネルギー消費量,地域区分8における床面積あたりの基準一次エネルギー消費量
M-47,集会所等,競馬場又は競輪場の便所,1281,1249,1343,1363,1447,1532,1553,1878
M-48,集会所等,競馬場又は競輪場の喫煙室,1281,1249,1343,1363,1447,1532,1553,1878
M-49,集会所等,社寺の本殿,3329,3183,3134,3244,3503,3581,3736,4765
M-50,集会所等,社寺のロビー,1971,1890,2026,2064,2221,2325,2387,2898
M-51,集会所等,社寺の便所,1971,1890,2026,2064,2221,2325,2387,2898
M-52,集会所等,社寺の喫煙室,1971,1890,2026,2064,2221,2325,2387,2898
M-53,集会所等,厨房,0,0,0,0,0,0,0,0
M-54,集会所等,屋内駐車場,0,0,0,0,0,0,0,0
M-55,集会所等,機械室,0,0,0,0,0,0,0,0
M-56,集会所等,電気室,0,0,0,0,0,0,0,0
M-57,集会所等,湯沸室等,0,0,0,0,0,0,0,0
M-58,集会所等,食品庫等,0,0,0,0,0,0,0,0
M-59,集会所等,印刷室等,0,0,0,0,0,0,0,0
M-60,集会所等,廃棄物保管場所等,0,0,0,0,0,0,0,0
F-1,工場等,倉庫,0,0,0,0,0,0,0,0
F-2,工場等,屋外駐車場又は駐輪場,0,0,0,0,0,0,0,0
A-1,共同住宅,屋内廊下,937,973,705,745,801,829,858,799
A-2,共同住宅,ロビー,1198,1215,1064,1093,1142,1166,1114,1223
A-3,共同住宅,管理人室,431,428,366,386,394,440,418,520
A-4,共同住宅,集会室,576,549,452,453,451,478,472,538
A-5,共同住宅,屋外廊下,0,0,0,0,0,0,0,0
A-6,共同住宅,屋内駐車場,0,0,0,0,0,0,0,0
A-7,共同住宅,機械室,0,0,0,0,0,0,0,0
A-8,共同住宅,電気室,0,0,0,0,0,0,0,0
A-9,共同住宅,廃棄物保管場所等,0,0,0,0,0,0,0,0
